"draw_date","prize1","prize2_1","prize2_2","prize3_1","prize3_2","prize3_3","prize3_4","prize3_5","prize3_6","prize4_1","prize4_2","prize4_3","prize4_4","prize5_1","prize5_2","prize5_3","prize5_4","prize5_5","prize5_6","prize6_1","prize6_2","prize6_3","prize7_1","prize7_2","prize7_3","prize7_4","special_prize"
"2005-11-26T00:00:00.000Z","39844","80105 "," 12140","51348 "," 83080 "," 92770 "," 76673 "," 82919 "," 03570","5251 "," 2224 "," 8261 "," 1881","0236 "," 0406 "," 0290 "," 3880 "," 6988 "," 2297","302 "," 824 "," 963","53 "," 58 "," 72 "," 21","09008"
"2005-11-27T00:00:00.000Z","40653","78971 "," 25812","56691 "," 88951 "," 48846 "," 14104 "," 41327 "," 44676","0909 "," 8217 "," 4174 "," 2764","8378 "," 1243 "," 3717 "," 4425 "," 1118 "," 2408","745 "," 876 "," 215","51 "," 47 "," 66 "," 27","67471"
"2005-11-28T00:00:00.000Z","90835","62139 "," 59889","53204 "," 63302 "," 23231 "," 65757 "," 88286 "," 32452","5662 "," 6091 "," 7760 "," 7809","0262 "," 6845 "," 4377 "," 2677 "," 4952 "," 3027","236 "," 521 "," 931","23 "," 16 "," 32 "," 82","89348"
"2005-11-29T00:00:00.000Z","42109","70384 "," 91107","15383 "," 15695 "," 50621 "," 11459 "," 69175 "," 15589","7321 "," 0203 "," 1243 "," 1762","1755 "," 6353 "," 4336 "," 8748 "," 1845 "," 0979","216 "," 801 "," 433","21 "," 93 "," 04 "," 67","09824"
"2005-11-30T00:00:00.000Z","81003","31932 "," 68924","45111 "," 17337 "," 54752 "," 26354 "," 55057 "," 30907","7782 "," 1868 "," 6966 "," 1944","0238 "," 8088 "," 2120 "," 7657 "," 4426 "," 2046","214 "," 269 "," 154","07 "," 40 "," 35 "," 42","74087"
"2005-12-01T00:00:00.000Z","30892","64880 "," 59744","16161 "," 49098 "," 45583 "," 97577 "," 86133 "," 65926","1780 "," 2665 "," 1225 "," 5325","3766 "," 3279 "," 3635 "," 7883 "," 9089 "," 6860","079 "," 571 "," 926","94 "," 39 "," 35 "," 29","15508"
"2005-12-02T00:00:00.000Z","32360","89674 "," 32254","91069 "," 82960 "," 43942 "," 95575 "," 97495 "," 91517","7925 "," 4477 "," 3635 "," 4048","5325 "," 8873 "," 3957 "," 7178 "," 8770 "," 6911","846 "," 294 "," 590","17 "," 54 "," 32 "," 83","19624"
"2005-12-03T00:00:00.000Z","14928","95320 "," 52775","60634 "," 77145 "," 10865 "," 24367 "," 59700 "," 80040","3984 "," 9539 "," 7336 "," 6344","2205 "," 9726 "," 9068 "," 7431 "," 7491 "," 5303","988 "," 049 "," 697","64 "," 32 "," 43 "," 02","29411"
"2005-12-04T00:00:00.000Z","87534","12038 "," 59335","46347 "," 70317 "," 43231 "," 82736 "," 05597 "," 83695","0839 "," 0603 "," 6213 "," 4918","0955 "," 4831 "," 9993 "," 7715 "," 5629 "," 9278","925 "," 730 "," 085","32 "," 38 "," 86 "," 73","80004"
"2005-12-05T00:00:00.000Z","04373","94573 "," 01727","53747 "," 96145 "," 73502 "," 74570 "," 34229 "," 12033","2535 "," 7865 "," 6034 "," 4186","5610 "," 5259 "," 2212 "," 7622 "," 0474 "," 2710","253 "," 584 "," 592","85 "," 93 "," 67 "," 08","75026"
